ticket,resolution
What is your refund policy?,"We offer a 7-day money-back guarantee. If you're not satisfied within 7 days of billing, we'll provide a full refund. After 7 days, refunds are evaluated case-by-case based on your usage and circumstances."
Can I cancel my subscription anytime?,"Yes, you can cancel your subscription anytime with no cancellation fees. Your access continues until the end of your current billing period. You will not be charged again after cancellation."
What happens to my data if I cancel?,"Your data is retained for 30 days after cancellation. During this period, you can reactivate your account and restore all data. After 30 days, all data is permanently deleted. You can export your data before cancellation."
Do you offer money-back guarantee?,"Yes! We offer a full refund within 7 days of your initial purchase if you're not completely satisfied. No questions asked. Contact support with your order details to request a refund."
Are there any hidden charges?,"No! We believe in transparent pricing. The price you see is exactly what you pay. No hidden fees or surprise charges. Add-on services like additional storage or premium support are optional and clearly displayed."
How do I add more storage to my plan?,"You can add storage for ₹499/month through your account settings under Billing > Add-ons. Additional storage is added immediately to your account."
What is your data security policy?,"We use industry-leading security: 256-bit AES encryption, regular security audits, GDPR compliance, and SOC 2 Type II certification. All customer data is encrypted both in transit and at rest. We never share your data with third parties without consent."
Is our data GDPR compliant?,"Yes! We are fully GDPR compliant. Your data is stored securely, and you have complete control over your information. You can export or delete your data anytime. We provide detailed privacy policies and data processing agreements."
What is your uptime guarantee?,"We guarantee 99.9% uptime for all paid plans. In the rare event of downtime, Enterprise customers receive service credits. We maintain redundant servers across multiple data centers for maximum reliability."
Can I get bulk discounts for multiple teams?,"Yes! We offer custom pricing for organizations with multiple teams. The discount increases with the number of users and team count. Contact our sales team for a personalized quote."
What is your remote working policy?,"Our company supports remote work for eligible employees. Remote work is available after 6 months of employment with manager and HR approval. All remote workers must use company VPN at all times, enable multi-factor authentication, maintain a secure workspace, and work during core hours 9 AM - 6 PM IST. We require minimum 2 days per week in the office. All equipment (laptop, VPN tokens) is provided by the company."
Can I work from home?,"Yes! We support remote working arrangements. You're eligible after 6 months of employment with proper manager approval. Remote work requires using a company VPN, multi-factor authentication, and maintaining a secure workspace. We require 2 days per week in office for collaboration. Contact HR for remote work approval process."
What are the requirements for remote work?,"To work remotely, you must: use company VPN (mandatory), enable multi-factor authentication, have minimum 10 Mbps internet, use only company-approved devices, maintain password protection, keep devices locked when unattended, and never access company systems from public WiFi. You must be available during 9 AM - 6 PM IST and attend mandatory daily standups at 10:00 AM IST."
What equipment is provided for remote workers?,"The company provides laptop, VPN hardware token, and basic peripherals. Remote workers can request reimbursement for: Monitor (up to ₹5,000), Keyboard/Mouse (up to ₹2,000), Desk/Chair (up to ₹10,000 one-time), and Internet reimbursement (₹500/month). All company equipment must be returned upon separation."
What are my office attendance requirements while working remotely?,"Remote workers must come to the office minimum 2 days per week. First and third Friday of each month are mandatory office days. Ad-hoc in-office meetings can be scheduled with 24-hour notice. Quarterly team-building sessions in office are mandatory. We believe in hybrid collaboration for team cohesion."
Can my family members be visible during video calls?,"Family members should not be in the background during client-facing calls. Professional backgrounds are required. You can blur your background or use a company virtual backdrop. This ensures professionalism and maintains client confidentiality during remote work."
What happens if I disconnect from VPN during work?,"VPN disconnection during work hours is against policy and may result in disciplinary action. You must maintain VPN connection while accessing company systems. If you experience VPN issues, contact IT support immediately at itsupport@company.com or call +1-888-IT-SUPPORT (24/7)."
Can I use my personal laptop for remote work?,"No, you cannot use personal devices for work. Company only approves company-issued laptops for security reasons. This ensures data protection, compliance, and system security. Contact IT if your company laptop needs replacement or repair."
What is the internet requirement for remote work?,"Minimum internet speed is 10 Mbps download and 5 Mbps upload. If you experience internet issues, use mobile hotspot as a backup. The company reimburses ₹500/month for home internet used for work. Contact IT support if connectivity issues persist."

